Stock A,Stock B,Correlation
AVB,EQR,0.9406422991834953
AMAT,LRCX,0.9354084505319683
DHI,LEN,0.9324935660099251
MLM,VMC,0.9265451876206339
EQR,UDR,0.9204058788934405
AMAT,KLAC,0.9200361031532597
KLAC,LRCX,0.9191070822987445
CPT,MAA,0.9162883679044026
LEN,PHM,0.9121548912051369
AVB,UDR,0.9108254989789238
FRT,REG,0.9085279780863393
DHI,PHM,0.9080338551334045
HLT,MAR,0.9041704943624055
EQR,ESS,0.8995469016996334
CMS,WEC,0.8984578744534726
CDNS,SNPS,0.8945699701208348
AVB,ESS,0.892483396819313
ESS,UDR,0.8913145798756016
MAA,UDR,0.8858480813331371
FITB,HBAN,0.8848472880622765
CPT,UDR,0.8843647536347358
LNT,WEC,0.883847611122824
CMS,DTE,0.883518856610526
LNT,CMS,0.88343655332828
LNT,AEE,0.8823112996004981
CFG,FITB,0.8805375472901141
MET,PRU,0.8782810614107067
FRT,KIM,0.8777783217213148
CCL,NCLH,0.8777655695127777
MA,V,0.8775095017772722
DOW,LYB,0.8774314998541982
COP,EOG,0.8772927081917984
AEE,WEC,0.8756692159558611
DAL,UAL,0.8754190741833442
HD,LOW,0.8747500728544786
FITB,RF,0.8741169981047611
NVR,PHM,0.8740593172864036
MPC,VLO,0.8729027179170129
ADI,MCHP,0.8717946814907857
MCHP,NXPI,0.8666202565599502
KIM,REG,0.8661541345240082
NUE,STLD,0.8657609524776374
CFG,KEY,0.8626926782345798
LEN,NVR,0.8626744262547292
CMS,ED,0.8617819374495619
AEE,CMS,0.8616866775126851
COF,SYF,0.8612450200295534
FITB,KEY,0.8604602907140004
CFG,HBAN,0.859319923675669
ED,WEC,0.8585347543620019
HAL,SLB,0.856511372168575
LNT,DTE,0.8563810569453937
HBAN,KEY,0.8560689186983115
CCL,RCL,0.8559040718064242
BK,STT,0.8535757904182248
LNT,DUK,0.852911675015263
DHI,NVR,0.8525028420703525
MCO,SPGI,0.8504011501869084
ADI,NXPI,0.850241295823353
