Stock A,Stock B,t-Copula ρ,t-Copula ν,Log-Likelihood
MA,V,0.8484785675836474,5.0,-3895.437306935807
FRT,KIM,0.8713501571596232,5.0,-3978.5783225747155
MCO,SPGI,0.8574991986393968,5.0,-3935.623231276139
AVB,ESS,0.8810036717356885,5.0,-3987.302388827206
DHI,LEN,0.9366540423878381,5.0,-4230.2688937018165
LEN,PHM,0.9020534875776057,5.0,-4050.0583812618497
COP,EOG,0.8597829277275693,5.0,-3909.8440591874087
CMS,DTE,0.8532567470160543,5.0,-3906.128925780403
AEE,WEC,0.8610840864662721,5.0,-3930.495991485717
ED,WEC,0.8455733408333096,5.0,-3917.7139782109452
HAL,SLB,0.8320549454162501,5.0,-3845.7194131101596
