Stock1,Stock2,Sector,Cointegration_Statistic,P_Value,Critical_1%,Critical_5%,Critical_10%,Is_Cointegrated,Observations,Pair_Name
BLK,TRV,Financial Services,-4.864175766983842,0.0002902997199027433,-3.9110825341444433,-3.3442780495601956,-3.050102226148535,True,752,BLK~TRV
AFL,SPGI,Financial Services,-4.156342851161345,0.004243960916650815,-3.9110825341444433,-3.3442780495601956,-3.050102226148535,True,752,AFL~SPGI
ADSK,PLTR,Technology,-3.8851369109997336,0.010397794171017568,-3.9110825341444433,-3.3442780495601956,-3.050102226148535,True,752,ADSK~PLTR
BF-B,COST,Consumer Defensive,-3.881969931566764,0.010502353536961509,-3.9110825341444433,-3.3442780495601956,-3.050102226148535,True,752,BF-B~COST
OXY,SLB,Energy,-3.8271584379062515,0.012466713560271684,-3.9110825341444433,-3.3442780495601956,-3.050102226148535,True,752,OXY~SLB
TECH,MRK,Healthcare,-3.8261064513798204,0.01250741104993717,-3.9110825341444433,-3.3442780495601956,-3.050102226148535,True,752,TECH~MRK
HIG,SPGI,Financial Services,-3.621242753212244,0.023056975301755808,-3.9110825341444433,-3.3442780495601956,-3.050102226148535,True,752,HIG~SPGI
HST,IRM,Real Estate,-3.58990569076144,0.02521499789788739,-3.9110825341444433,-3.3442780495601956,-3.050102226148535,True,752,HST~IRM
BDX,MTD,Healthcare,-3.486265366668192,0.03363251062239708,-3.9110825341444433,-3.3442780495601956,-3.050102226148535,True,752,BDX~MTD
MTCH,META,Communication Services,-3.4760178420469847,0.034581397894074294,-3.9110825341444433,-3.3442780495601956,-3.050102226148535,True,752,MTCH~META
